timestamp,data
1760514705.2203548,94
1760514705.23014,96
1760514705.2422557,96
1760514705.250745,96
1760514705.2602592,94
1760514705.2702262,93
1760514705.2807558,87
1760514705.2900102,83
1760514705.3001645,78
1760514705.3100262,74
1760514705.3206043,66
1760514705.3303816,64
1760514705.3401892,62
1760514705.3503664,58
1760514705.3602996,55
1760514705.370165,53
1760514705.3800256,51
1760514705.3901956,49
1760514705.4000156,48
1760514705.4102414,48
1760514705.4204123,47
1760514705.430205,46
1760514705.4406335,45
1760514705.4506423,46
1760514705.4600136,46
1760514705.470034,45
1760514705.4802303,45
1760514705.490228,43
1760514705.500101,43
1760514705.5100107,43
1760514705.5205832,42
1760514705.5301409,41
1760514705.5402927,40
1760514705.5501873,40
1760514705.5600712,41
1760514705.5701668,40
1760514705.5803246,41
1760514705.590068,41
1760514705.6001544,44
1760514705.6103466,45
1760514705.6200528,45
1760514705.6301746,48
1760514705.6401086,49
1760514705.650062,50
1760514705.6600366,53
1760514705.670162,53
1760514705.679953,54
1760514705.6901095,55
1760514705.699991,58
1760514705.7100325,58
1760514705.720281,58
1760514705.7301161,59
1760514705.7400832,62
1760514705.7503214,64
1760514705.7603564,66
1760514705.7703774,66
1760514705.780317,68
1760514705.7903597,69
1760514705.8004122,68
1760514705.8102286,68
1760514705.8204017,68
1760514705.8300478,71
1760514705.8402116,70
1760514705.8509357,72
1760514705.860133,75
1760514705.8702471,79
1760514705.880789,79
1760514705.8901734,77
1760514705.9001741,76
1760514705.910355,74
1760514705.9203687,74
1760514705.930042,73
1760514705.9402115,70
1760514705.9504106,77
1760514705.9601176,79
1760514705.969903,86
1760514705.9806738,96
1760514705.9900818,102
1760514706.0001726,104
1760514706.0100284,100
1760514706.02065,101
1760514706.0301476,101
1760514706.0407243,97
1760514706.0502543,95
1760514706.0605323,94
1760514706.0703588,91
1760514706.080275,92
1760514706.0901885,94
1760514706.100322,97
1760514706.1105118,105
1760514706.120646,118
1760514706.1306484,128
1760514706.1404064,139
1760514706.150269,149
1760514706.160337,163
1760514706.1702664,178
1760514706.1801977,188
1760514706.1905987,205
1760514706.2003517,217
1760514706.2106936,227
1760514706.2202883,233
1760514706.2302485,242
1760514706.2404532,249
1760514706.250182,254
1760514706.2601964,260
1760514706.2704635,265
1760514706.2800324,273
1760514706.2904823,280
1760514706.3002024,285
1760514706.3100696,289
1760514706.3200457,297
1760514706.3300083,308
1760514706.340143,319
1760514706.350406,324
1760514706.3605347,331
1760514706.370233,337
1760514706.3802292,347
1760514706.3902059,355
1760514706.4002676,363
1760514706.4103446,367
1760514706.4202342,371
1760514706.4298735,375
1760514706.4400535,381
1760514706.4499176,388
1760514706.4601064,392
1760514706.4702299,396
1760514706.480403,399
1760514706.4903097,408
1760514706.500298,421
1760514706.5106995,442
1760514706.5205917,454
1760514706.529946,457
1760514706.540043,466
1760514706.5501096,483
1760514706.5600257,506
1760514706.5702782,518
1760514706.580133,539
1760514706.5905247,568
1760514706.600535,589
1760514706.6104343,615
1760514706.6204307,637
1760514706.6300602,657
1760514706.6400082,672
1760514706.6501505,688
1760514706.6602728,697
1760514706.6701462,697
1760514706.6803486,692
